order_id,order_date,sku,product,category,quantity,unit_price,discount_pct,net_total,region,channel,sales_rep
5345,2024-02-10,SKU-1005,Laptop Stand,Accessories,2,42.00,0,84.00,APAC,retail,F. Rossi
5089,2024-02-11,SKU-1006,Webcam 1080p,Peripherals,11,78.25,10,774.68,EMEA,online,B. Cohen
5250,2024-02-11,SKU-1010,Docking Station,Accessories,5,189.50,0,947.50,EMEA,retail,C. Nakamura
5265,2024-02-11,SKU-1006,Webcam 1080p,Peripherals,8,78.25,5,594.70,APAC,online,A. Singh
5097,2024-02-12,SKU-1010,Docking Station,Accessories,22,189.50,0,4169.00,LATAM,online,D. Muller
5211,2024-02-13,SKU-1008,Desk Lamp,Accessories,3,27.40,0,82.20,NA,retail,A. Singh
5166,2024-02-16,SKU-1005,Laptop Stand,Accessories,8,42.00,15,285.60,LATAM,online,F. Rossi
5184,2024-02-16,SKU-1007,Noise-Cancel Headset,Audio,18,199.99,0,3599.82,LATAM,online,C. Nakamura
5117,2024-02-17,SKU-1008,Desk Lamp,Accessories,15,27.40,0,411.00,APAC,online,D. Muller
5249,2024-02-18,SKU-1006,Webcam 1080p,Peripherals,3,78.25,0,234.75,LATAM,retail,C. Nakamura
5189,2024-02-19,SKU-1005,Laptop Stand,Accessories,16,42.00,0,672.00,EMEA,partner,B. Cohen
5131,2024-02-20,SKU-1010,Docking Station,Accessories,2,189.50,10,341.10,EMEA,partner,B. Cohen
5191,2024-02-20,SKU-1003,27in Monitor,Displays,14,299.00,15,3558.10,LATAM,partner,D. Muller
5006,2024-02-22,SKU-1003,27in Monitor,Displays,7,299.00,0,2093.00,NA,retail,A. Singh
5125,2024-02-22,SKU-1003,27in Monitor,Displays,21,299.00,5,5965.05,NA,partner,C. Nakamura
5204,2024-02-25,SKU-1007,Noise-Cancel Headset,Audio,14,199.99,15,2379.88,LATAM,partner,D. Muller
5224,2024-02-26,SKU-1002,Wireless Mouse,Peripherals,12,34.50,5,393.30,APAC,partner,F. Rossi
5271,2024-02-26,SKU-1010,Docking Station,Accessories,15,189.50,0,2842.50,LATAM,partner,E. Okafor
5333,2024-02-26,SKU-1006,Webcam 1080p,Peripherals,11,78.25,15,731.64,LATAM,partner,C. Nakamura
5059,2024-02-27,SKU-1007,Noise-Cancel Headset,Audio,18,199.99,0,3599.82,NA,partner,B. Cohen
5104,2024-02-28,SKU-1010,Docking Station,Accessories,20,189.50,15,3221.50,EMEA,retail,A. Singh
5188,2024-02-29,SKU-1005,Laptop Stand,Accessories,21,42.00,5,837.90,EMEA,online,A. Singh
5107,2024-03-02,SKU-1005,Laptop Stand,Accessories,22,42.00,10,831.60,NA,retail,E. Okafor
5138,2024-03-04,SKU-1010,Docking Station,Accessories,10,189.50,5,1800.25,LATAM,partner,C. Nakamura
5262,2024-03-04,SKU-1002,Wireless Mouse,Peripherals,23,34.50,10,714.15,APAC,online,B. Cohen
5252,2024-03-06,SKU-1007,Noise-Cancel Headset,Audio,21,199.99,0,4199.79,NA,partner,F. Rossi
5180,2024-03-08,SKU-1001,Mechanical Keyboard,Peripherals,19,89.99,0,1709.81,NA,retail,C. Nakamura
5181,2024-03-08,SKU-1007,Noise-Cancel Headset,Audio,6,199.99,0,1199.94,APAC,partner,E. Okafor
5054,2024-03-09,SKU-1005,Laptop Stand,Accessories,22,42.00,0,924.00,APAC,online,A. Singh
5323,2024-03-09,SKU-1001,Mechanical Keyboard,Peripherals,4,89.99,5,341.96,APAC,partner,C. Nakamura
5347,2024-03-11,SKU-1009,External SSD 1TB,Storage,23,129.00,0,2967.00,NA,partner,F. Rossi
5300,2024-03-12,SKU-1004,USB-C Hub,Accessories,4,59.95,0,239.80,EMEA,retail,A. Singh
5183,2024-03-13,SKU-1002,Wireless Mouse,Peripherals,15,34.50,0,517.50,EMEA,partner,F. Rossi
5017,2024-03-14,SKU-1007,Noise-Cancel Headset,Audio,21,199.99,5,3989.80,APAC,online,B. Cohen
5162,2024-03-14,SKU-1009,External SSD 1TB,Storage,15,129.00,0,1935.00,LATAM,partner,B. Cohen
5154,2024-03-15,SKU-1004,USB-C Hub,Accessories,15,59.95,10,809.33,LATAM,online,E. Okafor
5080,2024-03-16,SKU-1005,Laptop Stand,Accessories,8,42.00,0,336.00,NA,online,B. Cohen
5263,2024-03-16,SKU-1005,Laptop Stand,Accessories,15,42.00,10,567.00,LATAM,online,B. Cohen
5337,2024-03-18,SKU-1008,Desk Lamp,Accessories,11,27.40,5,286.33,LATAM,partner,B. Cohen
5132,2024-03-21,SKU-1005,Laptop Stand,Accessories,22,42.00,0,924.00,EMEA,online,E. Okafor
5350,2024-03-21,SKU-1003,27in Monitor,Displays,1,299.00,10,269.10,LATAM,partner,D. Muller
5005,2024-03-22,SKU-1010,Docking Station,Accessories,9,189.50,0,1705.50,LATAM,retail,C. Nakamura
5020,2024-03-22,SKU-1002,Wireless Mouse,Peripherals,5,34.50,15,146.62,LATAM,partner,A. Singh
5058,2024-03-23,SKU-1003,27in Monitor,Displays,21,299.00,0,6279.00,LATAM,partner,F. Rossi
5306,2024-03-23,SKU-1003,27in Monitor,Displays,10,299.00,0,2990.00,APAC,partner,B. Cohen
5287,2024-03-26,SKU-1010,Docking Station,Accessories,23,189.50,5,4140.57,LATAM,retail,D. Muller
5309,2024-03-27,SKU-1002,Wireless Mouse,Peripherals,17,34.50,15,498.52,EMEA,online,F. Rossi
5232,2024-03-28,SKU-1007,Noise-Cancel Headset,Audio,1,199.99,0,199.99,LATAM,partner,C. Nakamura
5237,2024-03-29,SKU-1003,27in Monitor,Displays,9,299.00,0,2691.00,EMEA,partner,A. Singh
5246,2024-03-29,SKU-1002,Wireless Mouse,Peripherals,17,34.50,15,498.52,NA,online,F. Rossi
5297,2024-03-29,SKU-1003,27in Monitor,Displays,3,299.00,5,852.15,LATAM,online,F. Rossi
5228,2024-03-30,SKU-1008,Desk Lamp,Accessories,24,27.40,5,624.72,EMEA,retail,E. Okafor
5063,2024-03-31,SKU-1003,27in Monitor,Displays,8,299.00,0,2392.00,LATAM,online,B. Cohen
5353,2024-03-31,SKU-1001,Mechanical Keyboard,Peripherals,6,89.99,5,512.94,NA,retail,D. Muller
5123,2024-04-01,SKU-1005,Laptop Stand,Accessories,8,42.00,0,336.00,APAC,online,F. Rossi
5071,2024-04-07,SKU-1002,Wireless Mouse,Peripherals,13,34.50,10,403.65,APAC,online,F. Rossi
5178,2024-04-07,SKU-1006,Webcam 1080p,Peripherals,8,78.25,15,532.10,APAC,partner,F. Rossi
5038,2024-04-08,SKU-1006,Webcam 1080p,Peripherals,4,78.25,0,313.00,EMEA,partner,D. Muller
5075,2024-04-08,SKU-1005,Laptop Stand,Accessories,18,42.00,0,756.00,LATAM,partner,D. Muller
5254,2024-04-08,SKU-1004,USB-C Hub,Accessories,11,59.95,5,626.48,EMEA,online,B. Cohen
5341,2024-04-08,SKU-1005,Laptop Stand,Accessories,20,42.00,5,798.00,EMEA,retail,E. Okafor
5259,2024-04-09,SKU-1004,USB-C Hub,Accessories,10,59.95,5,569.52,APAC,partner,E. Okafor
5280,2024-04-13,SKU-1008,Desk Lamp,Accessories,2,27.40,0,54.80,NA,online,A. Singh
5196,2024-04-15,SKU-1004,USB-C Hub,Accessories,5,59.95,10,269.78,NA,partner,B. Cohen
5346,2024-04-19,SKU-1005,Laptop Stand,Accessories,24,42.00,5,957.60,EMEA,partner,C. Nakamura
5003,2024-04-21,SKU-1001,Mechanical Keyboard,Peripherals,1,89.99,0,89.99,EMEA,partner,E. Okafor
5032,2024-04-22,SKU-1009,External SSD 1TB,Storage,8,129.00,10,928.80,NA,online,F. Rossi
5187,2024-04-23,SKU-1009,External SSD 1TB,Storage,11,129.00,10,1277.10,NA,partner,D. Muller
5066,2024-04-24,SKU-1006,Webcam 1080p,Peripherals,10,78.25,0,782.50,NA,partner,B. Cohen
5134,2024-04-28,SKU-1008,Desk Lamp,Accessories,10,27.40,0,274.00,APAC,partner,C. Nakamura
5135,2024-04-29,SKU-1008,Desk Lamp,Accessories,3,27.40,15,69.87,APAC,partner,E. Okafor
5159,2024-04-29,SKU-1004,USB-C Hub,Accessories,19,59.95,5,1082.10,LATAM,online,C. Nakamura
5186,2024-04-29,SKU-1006,Webcam 1080p,Peripherals,4,78.25,15,266.05,LATAM,online,E. Okafor
5026,2024-05-02,SKU-1002,Wireless Mouse,Peripherals,12,34.50,0,414.00,NA,online,E. Okafor
5102,2024-05-02,SKU-1001,Mechanical Keyboard,Peripherals,20,89.99,0,1799.80,EMEA,retail,F. Rossi
5116,2024-05-03,SKU-1007,Noise-Cancel Headset,Audio,16,199.99,10,2879.86,LATAM,partner,F. Rossi
5277,2024-05-03,SKU-1006,Webcam 1080p,Peripherals,3,78.25,0,234.75,NA,partner,F. Rossi
5321,2024-05-03,SKU-1007,Noise-Cancel Headset,Audio,17,199.99,5,3229.84,EMEA,partner,C. Nakamura
5035,2024-05-04,SKU-1010,Docking Station,Accessories,19,189.50,5,3420.47,LATAM,retail,B. Cohen
5112,2024-05-04,SKU-1002,Wireless Mouse,Peripherals,9,34.50,5,294.97,LATAM,partner,E. Okafor
5233,2024-05-04,SKU-1002,Wireless Mouse,Peripherals,14,34.50,0,483.00,LATAM,partner,D. Muller
5013,2024-05-05,SKU-1003,27in Monitor,Displays,18,299.00,15,4574.70,EMEA,retail,D. Muller
5052,2024-05-05,SKU-1003,27in Monitor,Displays,12,299.00,0,3588.00,APAC,retail,B. Cohen
5047,2024-05-06,SKU-1007,Noise-Cancel Headset,Audio,4,199.99,10,719.96,NA,partner,A. Singh
5064,2024-05-07,SKU-1006,Webcam 1080p,Peripherals,14,78.25,15,931.17,APAC,online,F. Rossi
5120,2024-05-08,SKU-1008,Desk Lamp,Accessories,9,27.40,0,246.60,EMEA,online,F. Rossi
5146,2024-05-09,SKU-1008,Desk Lamp,Accessories,3,27.40,0,82.20,APAC,online,D. Muller
5007,2024-05-15,SKU-1006,Webcam 1080p,Peripherals,12,78.25,10,845.10,NA,partner,D. Muller
5056,2024-05-15,SKU-1004,USB-C Hub,Accessories,22,59.95,15,1121.07,LATAM,retail,A. Singh
5069,2024-05-15,SKU-1005,Laptop Stand,Accessories,6,42.00,10,226.80,NA,online,E. Okafor
5311,2024-05-15,SKU-1001,Mechanical Keyboard,Peripherals,21,89.99,10,1700.81,EMEA,partner,D. Muller
5334,2024-05-15,SKU-1001,Mechanical Keyboard,Peripherals,20,89.99,5,1709.81,EMEA,partner,A. Singh
5022,2024-05-16,SKU-1002,Wireless Mouse,Peripherals,22,34.50,10,683.10,APAC,online,C. Nakamura
5153,2024-05-19,SKU-1005,Laptop Stand,Accessories,17,42.00,15,606.90,LATAM,retail,D. Muller
5217,2024-05-19,SKU-1005,Laptop Stand,Accessories,1,42.00,0,42.00,APAC,retail,C. Nakamura
5222,2024-05-19,SKU-1001,Mechanical Keyboard,Peripherals,22,89.99,0,1979.78,LATAM,partner,D. Muller
5001,2024-05-20,SKU-1002,Wireless Mouse,Peripherals,1,34.50,15,29.32,EMEA,online,B. Cohen
5176,2024-05-20,SKU-1001,Mechanical Keyboard,Peripherals,22,89.99,5,1880.79,NA,partner,F. Rossi
5057,2024-05-21,SKU-1002,Wireless Mouse,Peripherals,21,34.50,5,688.27,NA,online,C. Nakamura
5194,2024-05-21,SKU-1006,Webcam 1080p,Peripherals,2,78.25,5,148.67,EMEA,online,D. Muller
5039,2024-05-22,SKU-1003,27in Monitor,Displays,14,299.00,0,4186.00,LATAM,online,A. Singh
5099,2024-05-22,SKU-1006,Webcam 1080p,Peripherals,11,78.25,5,817.71,LATAM,retail,A. Singh
5294,2024-05-22,SKU-1007,Noise-Cancel Headset,Audio,11,199.99,15,1869.91,EMEA,online,A. Singh
5326,2024-05-23,SKU-1008,Desk Lamp,Accessories,25,27.40,10,616.50,NA,online,A. Singh
5055,2024-05-24,SKU-1009,External SSD 1TB,Storage,5,129.00,0,645.00,EMEA,partner,C. Nakamura
5156,2024-05-24,SKU-1009,External SSD 1TB,Storage,9,129.00,0,1161.00,APAC,partner,E. Okafor
5258,2024-05-25,SKU-1004,USB-C Hub,Accessories,15,59.95,10,809.33,LATAM,online,E. Okafor
5355,2024-05-25,SKU-1010,Docking Station,Accessories,4,189.50,0,758.00,LATAM,partner,E. Okafor
5296,2024-05-26,SKU-1008,Desk Lamp,Accessories,7,27.40,10,172.62,LATAM,online,A. Singh
5145,2024-05-27,SKU-1007,Noise-Cancel Headset,Audio,23,199.99,5,4369.78,LATAM,partner,A. Singh
5325,2024-05-27,SKU-1004,USB-C Hub,Accessories,12,59.95,10,647.46,NA,retail,E. Okafor
5342,2024-05-27,SKU-1005,Laptop Stand,Accessories,8,42.00,0,336.00,EMEA,partner,F. Rossi
5351,2024-05-27,SKU-1008,Desk Lamp,Accessories,21,27.40,0,575.40,APAC,retail,F. Rossi
5227,2024-05-28,SKU-1003,27in Monitor,Displays,25,299.00,0,7475.00,APAC,online,A. Singh
5358,2024-05-31,SKU-1001,Mechanical Keyboard,Peripherals,24,89.99,0,2159.76,EMEA,online,E. Okafor
5024,2024-06-01,SKU-1009,External SSD 1TB,Storage,4,129.00,15,438.60,EMEA,online,C. Nakamura
5093,2024-06-01,SKU-1008,Desk Lamp,Accessories,1,27.40,0,27.40,LATAM,retail,E. Okafor
5053,2024-06-03,SKU-1008,Desk Lamp,Accessories,18,27.40,15,419.22,NA,partner,E. Okafor
5076,2024-06-03,SKU-1003,27in Monitor,Displays,20,299.00,10,5382.00,LATAM,partner,A. Singh
5320,2024-06-06,SKU-1009,External SSD 1TB,Storage,15,129.00,5,1838.25,LATAM,online,A. Singh
5234,2024-06-07,SKU-1009,External SSD 1TB,Storage,3,129.00,5,367.65,APAC,online,C. Nakamura
5302,2024-06-07,SKU-1010,Docking Station,Accessories,3,189.50,0,568.50,LATAM,partner,F. Rossi
5070,2024-06-09,SKU-1007,Noise-Cancel Headset,Audio,12,199.99,15,2039.90,LATAM,partner,E. Okafor
5210,2024-06-09,SKU-1002,Wireless Mouse,Peripherals,11,34.50,5,360.52,APAC,retail,B. Cohen
5315,2024-06-09,SKU-1006,Webcam 1080p,Peripherals,20,78.25,0,1565.00,APAC,partner,C. Nakamura
5319,2024-06-09,SKU-1006,Webcam 1080p,Peripherals,19,78.25,15,1263.74,EMEA,online,D. Muller
5015,2024-06-10,SKU-1001,Mechanical Keyboard,Peripherals,8,89.99,0,719.92,LATAM,retail,A. Singh
5016,2024-06-10,SKU-1004,USB-C Hub,Accessories,19,59.95,15,968.19,EMEA,partner,D. Muller
5140,2024-06-14,SKU-1010,Docking Station,Accessories,2,189.50,5,360.05,APAC,online,A. Singh
5339,2024-06-15,SKU-1009,External SSD 1TB,Storage,7,129.00,10,812.70,LATAM,partner,D. Muller
5286,2024-06-16,SKU-1006,Webcam 1080p,Peripherals,4,78.25,0,313.00,APAC,retail,D. Muller
5359,2024-06-16,SKU-1007,Noise-Cancel Headset,Audio,14,199.99,10,2519.87,NA,retail,F. Rossi
5197,2024-06-17,SKU-1010,Docking Station,Accessories,7,189.50,0,1326.50,EMEA,partner,A. Singh
5161,2024-06-18,SKU-1003,27in Monitor,Displays,17,299.00,10,4574.70,NA,retail,A. Singh
5349,2024-06-18,SKU-1001,Mechanical Keyboard,Peripherals,4,89.99,5,341.96,LATAM,online,F. Rossi
5095,2024-06-21,SKU-1008,Desk Lamp,Accessories,1,27.40,5,26.03,LATAM,partner,B. Cohen
5310,2024-06-21,SKU-1010,Docking Station,Accessories,24,189.50,10,4093.20,NA,online,A. Singh
5163,2024-06-22,SKU-1002,Wireless Mouse,Peripherals,16,34.50,0,552.00,LATAM,partner,A. Singh
5248,2024-06-22,SKU-1005,Laptop Stand,Accessories,13,42.00,5,518.70,NA,partner,F. Rossi
5114,2024-06-23,SKU-1004,USB-C Hub,Accessories,12,59.95,0,719.40,APAC,partner,F. Rossi
5126,2024-06-23,SKU-1008,Desk Lamp,Accessories,16,27.40,5,416.48,EMEA,online,C. Nakamura
5343,2024-06-27,SKU-1008,Desk Lamp,Accessories,11,27.40,5,286.33,APAC,retail,A. Singh
5215,2024-06-28,SKU-1008,Desk Lamp,Accessories,8,27.40,0,219.20,APAC,online,C. Nakamura
5236,2024-06-28,SKU-1004,USB-C Hub,Accessories,25,59.95,0,1498.75,EMEA,online,A. Singh
5241,2024-06-29,SKU-1005,Laptop Stand,Accessories,19,42.00,0,798.00,NA,retail,D. Muller
5278,2024-06-29,SKU-1006,Webcam 1080p,Peripherals,5,78.25,0,391.25,APAC,partner,B. Cohen
5062,2024-06-30,SKU-1004,USB-C Hub,Accessories,22,59.95,0,1318.90,LATAM,partner,F. Rossi
5168,2024-07-02,SKU-1006,Webcam 1080p,Peripherals,2,78.25,0,156.50,APAC,retail,B. Cohen
5199,2024-07-02,SKU-1001,Mechanical Keyboard,Peripherals,5,89.99,0,449.95,EMEA,partner,C. Nakamura
5109,2024-07-04,SKU-1008,Desk Lamp,Accessories,4,27.40,5,104.12,LATAM,partner,B. Cohen
5011,2024-07-05,SKU-1005,Laptop Stand,Accessories,15,42.00,15,535.50,EMEA,retail,C. Nakamura
5291,2024-07-06,SKU-1002,Wireless Mouse,Peripherals,8,34.50,15,234.60,APAC,retail,E. Okafor
5185,2024-07-07,SKU-1009,External SSD 1TB,Storage,4,129.00,5,490.20,APAC,partner,D. Muller
5242,2024-07-07,SKU-1008,Desk Lamp,Accessories,2,27.40,0,54.80,APAC,online,F. Rossi
5284,2024-07-07,SKU-1008,Desk Lamp,Accessories,23,27.40,5,598.69,APAC,online,F. Rossi
5301,2024-07-07,SKU-1006,Webcam 1080p,Peripherals,18,78.25,10,1267.65,LATAM,partner,B. Cohen
5192,2024-07-08,SKU-1005,Laptop Stand,Accessories,2,42.00,15,71.40,EMEA,retail,D. Muller
5220,2024-07-08,SKU-1008,Desk Lamp,Accessories,11,27.40,0,301.40,APAC,partner,C. Nakamura
5030,2024-07-10,SKU-1007,Noise-Cancel Headset,Audio,22,199.99,15,3739.81,LATAM,partner,D. Muller
5276,2024-07-10,SKU-1001,Mechanical Keyboard,Peripherals,21,89.99,5,1795.30,APAC,partner,A. Singh
5256,2024-07-11,SKU-1010,Docking Station,Accessories,5,189.50,10,852.75,EMEA,online,B. Cohen
5158,2024-07-12,SKU-1009,External SSD 1TB,Storage,25,129.00,10,2902.50,LATAM,retail,B. Cohen
5098,2024-07-13,SKU-1003,27in Monitor,Displays,2,299.00,0,598.00,APAC,online,D. Muller
5164,2024-07-13,SKU-1006,Webcam 1080p,Peripherals,22,78.25,10,1549.35,APAC,partner,F. Rossi
5344,2024-07-13,SKU-1010,Docking Station,Accessories,22,189.50,10,3752.10,LATAM,retail,B. Cohen
5260,2024-07-14,SKU-1008,Desk Lamp,Accessories,15,27.40,0,411.00,LATAM,online,B. Cohen
5082,2024-07-15,SKU-1004,USB-C Hub,Accessories,23,59.95,15,1172.02,LATAM,retail,B. Cohen
5174,2024-07-15,SKU-1008,Desk Lamp,Accessories,10,27.40,0,274.00,LATAM,online,B. Cohen
5160,2024-07-16,SKU-1008,Desk Lamp,Accessories,23,27.40,5,598.69,EMEA,retail,A. Singh
5295,2024-07-17,SKU-1003,27in Monitor,Displays,16,299.00,10,4305.60,NA,retail,C. Nakamura
5042,2024-07-18,SKU-1003,27in Monitor,Displays,13,299.00,0,3887.00,APAC,retail,C. Nakamura
5049,2024-07-21,SKU-1006,Webcam 1080p,Peripherals,8,78.25,0,626.00,EMEA,partner,F. Rossi
5281,2024-07-22,SKU-1006,Webcam 1080p,Peripherals,10,78.25,10,704.25,LATAM,retail,A. Singh
5127,2024-07-24,SKU-1008,Desk Lamp,Accessories,4,27.40,0,109.60,LATAM,online,E. Okafor
5324,2024-07-24,SKU-1007,Noise-Cancel Headset,Audio,12,199.99,0,2399.88,NA,partner,E. Okafor
5313,2024-07-26,SKU-1008,Desk Lamp,Accessories,8,27.40,15,186.32,APAC,retail,A. Singh
5133,2024-07-28,SKU-1002,Wireless Mouse,Peripherals,6,34.50,0,207.00,LATAM,partner,E. Okafor
5303,2024-07-28,SKU-1008,Desk Lamp,Accessories,17,27.40,5,442.51,NA,online,C. Nakamura
5223,2024-07-31,SKU-1008,Desk Lamp,Accessories,20,27.40,5,520.60,APAC,online,E. Okafor
5264,2024-07-31,SKU-1008,Desk Lamp,Accessories,12,27.40,0,328.80,NA,retail,E. Okafor
5314,2024-07-31,SKU-1001,Mechanical Keyboard,Peripherals,6,89.99,5,512.94,LATAM,retail,B. Cohen
5213,2024-08-04,SKU-1007,Noise-Cancel Headset,Audio,12,199.99,15,2039.90,NA,retail,E. Okafor
5036,2024-08-08,SKU-1002,Wireless Mouse,Peripherals,4,34.50,15,117.30,APAC,retail,D. Muller
5077,2024-08-08,SKU-1005,Laptop Stand,Accessories,10,42.00,0,420.00,APAC,retail,D. Muller
5305,2024-08-09,SKU-1010,Docking Station,Accessories,6,189.50,0,1137.00,NA,online,E. Okafor
5257,2024-08-12,SKU-1010,Docking Station,Accessories,6,189.50,15,966.45,NA,retail,C. Nakamura
5283,2024-08-13,SKU-1006,Webcam 1080p,Peripherals,14,78.25,5,1040.72,LATAM,retail,B. Cohen
5086,2024-08-16,SKU-1009,External SSD 1TB,Storage,14,129.00,10,1625.40,EMEA,partner,D. Muller
5244,2024-08-18,SKU-1009,External SSD 1TB,Storage,24,129.00,0,3096.00,EMEA,retail,E. Okafor
5317,2024-08-18,SKU-1008,Desk Lamp,Accessories,4,27.40,0,109.60,EMEA,online,A. Singh
5202,2024-08-19,SKU-1009,External SSD 1TB,Storage,19,129.00,0,2451.00,EMEA,partner,A. Singh
5209,2024-08-20,SKU-1004,USB-C Hub,Accessories,14,59.95,0,839.30,LATAM,retail,F. Rossi
5081,2024-08-21,SKU-1008,Desk Lamp,Accessories,20,27.40,0,548.00,LATAM,partner,E. Okafor
5357,2024-08-22,SKU-1002,Wireless Mouse,Peripherals,11,34.50,0,379.50,APAC,partner,B. Cohen
5230,2024-08-23,SKU-1001,Mechanical Keyboard,Peripherals,14,89.99,0,1259.86,NA,retail,E. Okafor
5084,2024-08-25,SKU-1003,27in Monitor,Displays,23,299.00,10,6189.30,NA,partner,B. Cohen
5085,2024-08-25,SKU-1002,Wireless Mouse,Peripherals,15,34.50,0,517.50,APAC,retail,E. Okafor
5091,2024-08-26,SKU-1007,Noise-Cancel Headset,Audio,11,199.99,10,1979.90,LATAM,online,B. Cohen
5103,2024-08-26,SKU-1002,Wireless Mouse,Peripherals,19,34.50,0,655.50,APAC,retail,B. Cohen
5021,2024-08-27,SKU-1007,Noise-Cancel Headset,Audio,13,199.99,10,2339.88,APAC,partner,A. Singh
5065,2024-08-28,SKU-1002,Wireless Mouse,Peripherals,13,34.50,0,448.50,EMEA,online,D. Muller
5142,2024-08-28,SKU-1010,Docking Station,Accessories,2,189.50,0,379.00,LATAM,retail,B. Cohen
5240,2024-08-28,SKU-1003,27in Monitor,Displays,15,299.00,0,4485.00,LATAM,partner,C. Nakamura
5338,2024-08-29,SKU-1007,Noise-Cancel Headset,Audio,17,199.99,10,3059.85,NA,partner,B. Cohen
5329,2024-08-30,SKU-1003,27in Monitor,Displays,23,299.00,0,6877.00,LATAM,online,E. Okafor
5045,2024-09-01,SKU-1001,Mechanical Keyboard,Peripherals,2,89.99,10,161.98,EMEA,online,E. Okafor
5360,2024-09-01,SKU-1002,Wireless Mouse,Peripherals,6,34.50,0,207.00,APAC,online,A. Singh
5041,2024-09-03,SKU-1003,27in Monitor,Displays,14,299.00,5,3976.70,EMEA,retail,A. Singh
5182,2024-09-03,SKU-1005,Laptop Stand,Accessories,6,42.00,0,252.00,APAC,partner,C. Nakamura
5027,2024-09-05,SKU-1002,Wireless Mouse,Peripherals,3,34.50,15,87.97,NA,partner,B. Cohen
5034,2024-09-05,SKU-1004,USB-C Hub,Accessories,9,59.95,15,458.62,EMEA,partner,B. Cohen
5094,2024-09-06,SKU-1009,External SSD 1TB,Storage,20,129.00,0,2580.00,EMEA,retail,D. Muller
5143,2024-09-08,SKU-1010,Docking Station,Accessories,14,189.50,15,2255.05,NA,retail,C. Nakamura
